species	UKOTs	n	remarks
Anolis grahami	MS	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Anolis grahami	TC	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Anolis grahami	VG	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Anolis sagrei	AI	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Anolis sagrei	BM	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Anolis sagrei	MS	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Aratinga pertinax	AI	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Aratinga pertinax	BM	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Aratinga pertinax	KY	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Aratinga pertinax	MS	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Aratinga pertinax	TC	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Aratinga pertinax	VG	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Canis familiaris	AI	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Canis familiaris	BM	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Canis familiaris	MS	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Canis familiaris	TC	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Cyclura nubila	KY	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Elaphe guttata	AI	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Elaphe guttata	BM	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Elaphe guttata	MS	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Elaphe guttata	TC	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Elaphe guttata	VG	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Eleutherodactylus cocqui	VG	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Felis catus	AI	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Felis catus	BM	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Felis catus	MS	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Gallus gallus	MS	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Gallus gallus	TC	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Gastrophryne carolinensis	AI	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Gastrophryne carolinensis	BM	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Gastrophryne carolinensis	MS	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Gastrophryne carolinensis	TC	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Gastrophryne carolinensis	VG	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Hemidactylus frenatus	AI	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Hemidactylus frenatus	BM	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Hemidactylus frenatus	KY	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Hemidactylus frenatus	MS	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Hemidactylus frenatus	TC	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Hemidactylus frenatus	VG	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Herpestes auropunctatus	VG	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Iguana iguana	VG	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Mustela erminea	AI	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Mustela erminea	BM	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Mustela erminea	KY	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Mustela erminea	MS	2	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
