species	AI	BM	KY	MS	TC	VG	organism_type	synonyms	common_names	broad_habitat	exotic_in	invasive_in	main_reference	checklist	origin	phylum
Bubulcus ibis	148	655	535	423	194	267	Vertebrate - Bird	Bulbucus ibis	"Garza ganadera (DR);Cattle Egret;Afrikaanse
koereiger"	Terrestrial	"Bahamas Islands;Turks and Caicos Islands;Dominican
Republic;Curacao;Aruba;Bonaire;Puerto Rico;US Virgin
Islands;Aruba;Barbados;Cuba;"	"Dominican
Republic;Turks and Caicos Islands;Bahamas Islands;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Bucida bueeras	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	NA	NA	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Bufo marinus	NA	NA	NA	NA	NA	NA	"Vertebrate -
Amphibian"	Rhinella marina	"Bullfrog;Maco toro (DR);Maco pempen (Dom
Rep);cane toad;Bufo Toad;Marine Toad;"	Freshwater	"Jamaica;Dominican Republic;Aruba;Anguilla;Barbados;Montserrat;St. Vincent-
Grenadines;Haiti;Hispaniola;British Virgin Islands;Cayman Islands (Grand
Cayman);Bermuda;Puerto Rico;US Virgin Islands (St. Croix,
St.Thomas);Martinique;St. Lucia;Grenada;Guadeloupe;Antigua-Barbuda;St. Kitts-
Nevis;"	"Jamaica;Dominican
Republic;Aruba;Anguilla;Barbados;Montserrat;St. Vincent-
Grenadines;Haiti;Hispaniola;Bermuda;Cayman Islands (Grand
Cayman);Guadeloupe;Martinique;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Bugula neritina	NA	2	NA	NA	NA	NA	"Invertebrate -
Bryozoan"	NA	Brown bryozoan (ISC)	NA	Bermuda;Puerto Rico;Mexico;Panama;Florida;	Bermuda;Puerto Rico;Mexico;Panama;Florida;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Cactoblastis cactorum	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Cactus moth (ISC)	NA	"Montserrat;Cayman Islands;Puerto Rico;US Virgin Islands;Antigua-Barbuda;St.
Kitts-Nevis;Bahamas Islands;Cuba;"	"Montserrat;Cayman Islands;Puerto Rico;US Virgin Islands;Antigua-Barbuda;St. Kitts-
Nevis;Bahamas Islands;Cuba;"	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Caiman crocodilus	NA	NA	NA	NA	NA	NA	Vertebrate - Reptile	NA	NA	NA	Puerto Rico;Cuba;	Puerto Rico;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Callinectes bocourti	NA	NA	NA	NA	NA	NA	"Invertebrate -
crustacean"	NA	Bocourt swimming Crab, red blue crab	Marine	Florida;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Callionymus lyra	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Dragonet;	Marine	Bahamas Islands;	Bahamas Islands;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Callosobruchus sp.?	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Barrenador semillas de palma (DR);	Terrestrial	Dominican Republic;	Dominican Republic;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Camponotus sp.	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Carpenter ant	Terrestrial	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Canis familiaris	NA	NA	NA	NA	NA	NA	"Vertebrate -
Mammal"	Canis lupus	Domestic dog;	Terrestrial	"Bahamas Islands;Dominican Republic;British Virgin Islands;Turks and Caicos Islands;
Antigua-Barbuda;St. Martin;Curacao;Jamaica;Haiti; Anguilla; Cayman
Islands;Netherlands Antilles;"	"Bahamas Islands;Dominican Republic;British Virgin Islands;Turks and Caicos Islands;Antigua-
Barbuda;St. Martin;Jamaica;Haiti;Anguilla Cayman Islands; Netherlands Antilles;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Capra hircus	NA	NA	NA	NA	NA	3	"Vertebrate -
Mammal"	NA	Goat	Terrestrial	"Jamaica;Bahamas Islands;Turks and Caicos Islands;Antigua-Barbuda;Puerto
Rico;Curacao;US Virgin Islands;Dominican Republic;Haiti;Anguilla;British
Virgin Islands;Cayman Islands;Curacao;Guadeloupe;"	"Jamaica;Bahamas
Islands;Turks and Caicos Islands;Antigua-Barbuda;Puerto Rico;US Virgin Islands;Curacao;Do
minican Republic;Haiti;Anguilla;British Virgin Islands;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Carassius auratus	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Goldfish (ISC)	NA	Puerto Rico;US Virgin Islands;Colombia;Costa Rica;	NA	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Charybdis hellerii	NA	NA	NA	NA	NA	NA	"Invertebrate -
Crustacean"	NA	An Indo-Pacific crab	Marine	Cuba;Venezuela;Colombia;French Guiana;Florida;	NA	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Chiloscyllium punctatum	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Banded shark;	Marine	Bahamas Islands;	Bahamas Islands;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Chionaspis pinifoliae	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Pine leaf scale	NA	Cuba;	Cuba;	"CABI,2011. Chionaspis pinifoliae. In: Invasive Species Compendium.
Wallingford, UK: CAB International. http://www.cabi.org/isc."	Caribbean_IAS_db	NA	NA
Chrysemys sp.	NA	NA	NA	NA	NA	NA	Vertebrate - Reptile	NA	Jicotea (DR);pond turtle;painted turtle	Freshwater	Dominican Republic;	Dominican Republic;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Chrysoara quinquechirra	NA	NA	NA	NA	NA	NA	"Invertebrate -
Jellyfish"	NA	Sea nettle;	Marine	Bahamas Islands;	Bahamas Islands;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Cichla ocellaris	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	NA	NA	Dominican Republic;Puerto Rico;Belize;Panama;	NA	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Clastoptera unduata	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	NA	Terrestrial	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Clytemnestra sp.	NA	NA	NA	NA	NA	NA	"Invertebrate -
crustacean"	NA	A copepod	Marine	Colombia;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Coccus hesperidium	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	soft brown scale;	Terrestrial	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Coccus viridis	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Green scale	Terrestrial	Jamaica;	Jamaica;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Coelophor inaequalis	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	NA	NA	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Colossoma or Piaractus sp.	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Unidentified pacu	Marine	Florida;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Columba livia	8	1308	162	3	41	39	Vertebrate - Bird	NA	Rock dove;pigeon	Terrestrial	"Bahamas Islands;Bermuda;Trinidad;Anguilla;Montserrat;Turks and Caicos Islands; Cayman
Islands;Haiti;Dominican Republic;Puerto Rico;Netherlands Antilles;
Martinique;St. Lucia;St. Vincent- Grenadines (St. Vincent);Grenada;
Barbados;Guadeloupe;St. Kitts Nevis(Nevis);Cuba;Jamaica;Venezuela;
Guyana;Suriname;"	"Bahamas
Islands;Bermuda;Trinidad;Cayman Islands (Cayman Brac & Grand Cayman);"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Conotelus fuscipennis	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	C. punctatus Schaeffer	NA	Terrestrial	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Contarinia maculipennis	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	"Mosquita de flores orqiudea (DR);Blossom
midge;"	Terrestrial	Dominican Republic;	Dominican Republic;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Didemnum perlucidum	NA	NA	NA	NA	NA	NA	"Invertebrate -
Ascidian/Tunicate"	NA	A white crust tunicate	Marine	Texas;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Dinoderus minutus	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Bamboo borer	NA	Cuba;Trindad - Tobago;	NA	"CABI,2011. Dinoderus minutus. In: Invasive Species Compendium.
Wallingford, UK: CAB International. http://www.cabi.org/isc."	Caribbean_IAS_db	NA	NA
Dorosoma petenense	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Threadfin Shad;	Freshwater	Dominican Republic;	Dominican Republic	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Dreissena polymorpha	NA	NA	NA	NA	NA	NA	"Invertebrate -
Mollusc"	NA	Zebra mussel;	Freshwater	Jamaica;Mexico;Texas;Louisiana;	Jamaica;Mexico;Louisiana;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Drosophila nebulosa	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	NA	Terrestrial	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Drymonema dalmatinum	NA	3	NA	NA	NA	NA	"Invertebrate -
Jellyfish"	NA	Pink meanie	Marine	Puerto Rico;Florida;	NA	"Harriet Perry and Matt Cannister. 2011.   ""Drymonema  larsoni"".
USGS Nonindigenous Aquatic Species Database, Gainesville, FL.
<http://nas.er.usgs.gov/queries/factsheet.aspx?SpeciesID=2381
RevisionDate: 2/17/2011> (Aug 5, 2011)"	Caribbean_IAS_db	NA	NA
Dysdercus spp.	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Cotton stainers (Jamaica);	Terrestrial	Jamaica;	Jamaica:	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Elaphe guttata	NA	NA	NA	NA	NA	NA	Vertebrate - Reptile	NA	Corn snake (Bahamas Islands);	Terrestrial	"Bahamas Islands;Anguilla;Antigua;St. Barts;Cayman Islands;Curacao;
Bonaire;St. Martin (Netherlands);"	Bahamas Islands;Anguilla;Antigua;St. Barts;Cayman Islands (Grand Cayman);	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Eleutherodactylus cocqui	NA	NA	NA	NA	NA	NA	"Vertebrate -
Amphibian"	NA	"Caribbean tree frog;Common coqui (Bahamas
Islands);Puerto Rican treefrog (Puerto Rico);"	Terrestrial	Bahamas Islands;US Virgin Islands;Puerto Rico;Dominican Republic;	"Bahamas Islands;US
Virgin Islands (St.Croix,St.John,St.Thomas);Puerto
Rico;Dominican Republic;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Eleutherodactylus johnstonei	NA	233	NA	186	NA	NA	"Vertebrate -
Amphibian"	NA	whistling frog;fluitkikker (Curacao);	Terrestrial	Jamaica;Bermuda;Trinidad;Curacao;Anguilla;Martinique;Guadeloupe;	"Jamaica;Curacao;Tri
nidad;Guadeloupe;Martinique;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Eleutherodactylus planirostris	NA	NA	134	NA	11	NA	"Vertebrate -
Amphibian"	NA	Greenhouse frog	Terrestrial	Guadeloupe;Turks and Caicos Islands;Grenada;Jamaica;	Guadeloupe;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Epinephelus lanceolatus	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Queenland grouper;	Marine	Bahamas Islands;	Bahamas Islands;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Equus asinus	NA	NA	NA	NA	1	NA	"Vertebrate -
Mammal"	NA	Donkey;burros (Virgin islands);	Terrestrial	"Bahamas Islands;US Virgin Islands;Turks and Caicos Islands;Antigua-Barbuda;Puerto
Rico;British Virgin Islands;Cayman Islands;"	"Bahamas Islands;US
Virgin Islands;Turks and Caicos Islands;Antigua-Barbuda;Puerto Rico;British Virgin Islands;Cayman
Islands;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Equus caballus	NA	NA	NA	NA	NA	NA	"Vertebrate -
Mammal"	NA	NA	NA	Turks and Caicos Islands;	Turks and Caicos Islands;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Erechthias minus	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	NA	Terrestrial	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Eretmocercus serious	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Eddy wasp;	Terrestrial	Jamaica;	Jamaica;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Erinnyis ello	NA	NA	2	NA	3	1	"Invertebrate -
Insect"	NA	sphinx moth;	Terrestrial	Dominican Republic;	Dominican Republic;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Eriocheir sinensis	NA	NA	NA	NA	NA	NA	"Invertebrate -
crustacean"	NA	Chinese mitten crab	Marine	Louisiana;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Eriophyes sp	NA	NA	NA	NA	NA	NA	Invertebrate - Mite	NA	Acaro del Hibiscus (DR);Gall-mite;	Terrestrial	Dominican Republic;	Dominican Republic;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Erythrocebus patas	NA	NA	NA	NA	NA	NA	"Vertebrate -
Mammal"	NA	Patas monkey;	Terrestrial	Puerto Rico;	Puerto Rico;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Estrilda astrild	NA	19	NA	NA	NA	NA	Vertebrate - Bird	NA	Common waxbill;	Terrestrial	Trinidad;Bermuda;Puerto Rico;	Trinidad;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Eucalanus elongates	NA	NA	NA	NA	NA	NA	"Invertebrate -
crustacean"	NA	A copepod	Marine	Colombia;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Eucalanus sp.	NA	NA	NA	NA	NA	NA	"Invertebrate -
crustacean"	NA	A copepod	Marine	Colombia;	NA	"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."	Caribbean_IAS_db	NA	NA
Euglandina rosea	NA	2	NA	3	NA	NA	"Invertebrate -
Mollusc"	NA	Rosy predator snail(ISC)	NA	Bermuda;Bahamas Islands;	Bemuda;Bahamas Islands;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Europhoria sepulcratis	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	scarab beetle	Terrestrial	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Euxiphipops navarchus	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Blue-girded angelfish;	Marine	Bahamas Islands;	Bahamas Islands;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Euxiphipops xanthometopon	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Yellow-faced angelfish;	Marine	Bahamas Islands;	Bahamas Islands;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Felis catus	NA	NA	NA	NA	1	1	"Vertebrate -
Mammal"	NA	Cat;Domestic cat;	Terrestrial	"Jamaica;Bahamas Islands;Dominican Republic;Turks and Caicos Islands;British Virgin
Islands;Antigua-Barbuda;Bermuda;Puerto Rico;St. Martin;Curacao;US Virgin
Islands;Barbados;Haiti;Anguilla;Montserrat;Cayman Islands; Guadeloupe;"	"Jamaica;Bahamas Islands;Dominican Republic;Turks and Caicos Islands;British Virgin
Islands;Antigua-Barbuda;Bermuda;Puerto Rico;St. Martin;Curacao;US Virgin
Islands;Barbados;Haiti;Anguilla;Cayman Islands;Guadeloupe;Montserrat;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Ficopomatus enigmaticus	NA	NA	NA	NA	NA	NA	"Invertebrate -
Annelid"	NA	Tubeworm	Marine	Florida;Texas;	Texas;	"CABI,2012. Ficopomatus enigmaticus. In: Invasive Species
Compendium. Wallingford, UK: CAB International.
http://www.cabi.org/isc."	Caribbean_IAS_db	NA	NA
